epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.425,0.69314,1.74618,1.14391,0.79863,0.65409,0.72573,0.62131,0.70508,1.2782,1.12863,0.00019554,0.00019554,0.00019554
2,314.152,0.74318,1.17429,1.16902,0.83731,0.75641,0.80536,0.6676,0.7384,1.25355,1.16148,0.000385079,0.000385079,0.000385079
3,471.358,0.76239,1.12701,1.17322,0.72672,0.6929,0.76476,0.66942,0.66905,1.08212,1.09133,0.000568151,0.000568151,0.000568151
4,630.862,0.77509,1.1,1.17771,0.73164,0.70375,0.72843,0.60064,0.71418,1.15482,1.11894,0.000558894,0.000558894,0.000558894
5,797.655,0.7417,1.00518,1.1585,0.77335,0.77075,0.78027,0.6759,0.66388,0.87459,1.07655,0.000549192,0.000549192,0.000549192
6,958.416,0.72577,0.95372,1.15064,0.72902,0.83094,0.82012,0.71189,0.647,0.8168,1.06803,0.00053949,0.00053949,0.00053949
7,1115.38,0.67715,0.86213,1.12125,0.72929,0.85149,0.82814,0.69758,0.63609,0.74056,1.07328,0.000529788,0.000529788,0.000529788
8,1270.36,0.66731,0.82679,1.11854,0.76923,0.82402,0.83862,0.72667,0.59738,0.73102,1.05105,0.000520086,0.000520086,0.000520086
9,1425.76,0.65469,0.79399,1.09881,0.85971,0.8358,0.83907,0.72625,0.59344,0.69795,1.05628,0.000510384,0.000510384,0.000510384
10,1580.6,0.63162,0.78976,1.09851,0.87266,0.85217,0.85578,0.76426,0.5576,0.6375,1.0146,0.000500682,0.000500682,0.000500682
11,1736,0.63027,0.72873,1.08606,0.84006,0.85066,0.85031,0.75578,0.55754,0.60467,1.01512,0.00049098,0.00049098,0.00049098
12,1890.82,0.60387,0.70757,1.07292,0.87947,0.84202,0.8575,0.76487,0.54845,0.65149,1.00038,0.000481278,0.000481278,0.000481278
13,2046.17,0.60065,0.71651,1.07668,0.86903,0.81929,0.85585,0.75624,0.53568,0.59754,1.00416,0.000471576,0.000471576,0.000471576
14,2201.01,0.59335,0.69923,1.06961,0.88278,0.84039,0.85448,0.76729,0.51358,0.58841,0.98886,0.000461874,0.000461874,0.000461874
15,2356.34,0.56975,0.67509,1.0535,0.88335,0.84716,0.86763,0.76743,0.5081,0.56822,0.97447,0.000452172,0.000452172,0.000452172
16,2511.7,0.58076,0.66473,1.06984,0.80685,0.87332,0.86738,0.77174,0.52348,0.56073,0.97967,0.00044247,0.00044247,0.00044247
17,2666.97,0.56188,0.63406,1.05288,0.8762,0.86162,0.8559,0.76586,0.51266,0.55788,0.97994,0.000432768,0.000432768,0.000432768
18,2821.89,0.56774,0.61448,1.0526,0.9058,0.85445,0.87067,0.78838,0.4938,0.49962,0.97537,0.000423066,0.000423066,0.000423066
19,2977.29,0.54162,0.59606,1.03421,0.88608,0.85777,0.86826,0.78551,0.51794,0.53418,0.98729,0.000413364,0.000413364,0.000413364
20,3132.25,0.54186,0.59452,1.0387,0.90076,0.84927,0.87664,0.79202,0.51769,0.52707,0.98323,0.000403662,0.000403662,0.000403662
21,3287.63,0.52698,0.56802,1.02507,0.86457,0.85672,0.87853,0.79509,0.47051,0.50562,0.9632,0.00039396,0.00039396,0.00039396
22,3443.9,0.53154,0.55633,1.03024,0.93027,0.85679,0.87883,0.80409,0.48259,0.47756,0.96921,0.000384258,0.000384258,0.000384258
23,3600.77,0.52957,0.57033,1.03107,0.87019,0.85361,0.87204,0.79986,0.48188,0.47889,0.97453,0.000374556,0.000374556,0.000374556
24,3755.84,0.49319,0.54522,1.00328,0.8746,0.86889,0.88016,0.80389,0.47665,0.46903,0.97171,0.000364854,0.000364854,0.000364854
25,3911.91,0.50292,0.54175,1.01551,0.89684,0.85568,0.88109,0.79777,0.4789,0.48826,0.97269,0.000355152,0.000355152,0.000355152
26,4068.9,0.49307,0.534,1.01018,0.88671,0.86116,0.87302,0.79819,0.4807,0.47415,0.96659,0.00034545,0.00034545,0.00034545
27,4224.81,0.46936,0.50901,1.00224,0.9014,0.87372,0.87888,0.79923,0.45192,0.47218,0.95176,0.000335748,0.000335748,0.000335748
28,4380.49,0.47282,0.49871,0.99565,0.87382,0.90114,0.89336,0.81568,0.43801,0.44383,0.94336,0.000326046,0.000326046,0.000326046
29,4536.38,0.46481,0.50127,0.98967,0.91096,0.86535,0.88185,0.80601,0.44203,0.44853,0.95104,0.000316344,0.000316344,0.000316344
30,4691.4,0.47416,0.48664,1.00113,0.88884,0.8736,0.88509,0.80342,0.45769,0.46035,0.9648,0.000306642,0.000306642,0.000306642
31,4847.4,0.46143,0.47101,0.99467,0.90874,0.87371,0.88479,0.81364,0.43861,0.42401,0.9419,0.00029694,0.00029694,0.00029694
32,5004.08,0.45467,0.47216,0.99102,0.90525,0.8802,0.88595,0.80917,0.44854,0.42542,0.94687,0.000287238,0.000287238,0.000287238
33,5160.25,0.44214,0.45641,0.9809,0.88435,0.88705,0.88888,0.81142,0.45378,0.44137,0.95427,0.000277536,0.000277536,0.000277536
34,5316.23,0.44929,0.46473,0.98805,0.91935,0.88252,0.90085,0.82137,0.43645,0.41567,0.94027,0.000267834,0.000267834,0.000267834
35,5472.81,0.44468,0.46231,0.98329,0.90471,0.86921,0.88729,0.81081,0.44764,0.42,0.95504,0.000258132,0.000258132,0.000258132
36,5629.6,0.4484,0.46627,0.98167,0.93093,0.87074,0.89056,0.81708,0.44035,0.40983,0.94961,0.00024843,0.00024843,0.00024843
37,5785.82,0.4296,0.43334,0.97156,0.91931,0.89211,0.90115,0.82376,0.43677,0.4041,0.95286,0.000238728,0.000238728,0.000238728
38,5943.23,0.4116,0.41505,0.96712,0.91862,0.86342,0.89246,0.82039,0.43258,0.40868,0.95251,0.000229026,0.000229026,0.000229026
39,6100.31,0.43118,0.44097,0.97303,0.89358,0.88357,0.88957,0.81328,0.43529,0.43522,0.94558,0.000219324,0.000219324,0.000219324
40,6256.7,0.42739,0.42283,0.97288,0.90955,0.89076,0.90073,0.82492,0.42643,0.38122,0.94229,0.000209622,0.000209622,0.000209622
41,6412.94,0.41765,0.41078,0.9677,0.9282,0.87685,0.89962,0.82367,0.4338,0.39876,0.95401,0.00019992,0.00019992,0.00019992
42,6571.12,0.408,0.40177,0.95518,0.92677,0.88632,0.89322,0.82137,0.43379,0.38533,0.95892,0.000190218,0.000190218,0.000190218
43,6727.26,0.38932,0.38541,0.95597,0.92539,0.88894,0.89508,0.8231,0.42592,0.37727,0.95161,0.000180516,0.000180516,0.000180516
44,6883.67,0.39665,0.39751,0.95694,0.9347,0.88884,0.89863,0.83008,0.41753,0.35729,0.94426,0.000170814,0.000170814,0.000170814
45,7040.61,0.40184,0.40484,0.95975,0.9138,0.89282,0.90121,0.82434,0.42122,0.37459,0.94938,0.000161112,0.000161112,0.000161112
46,7197.58,0.39209,0.39706,0.9559,0.90947,0.88969,0.89644,0.82286,0.4249,0.36792,0.9527,0.00015141,0.00015141,0.00015141
47,7356.85,0.38425,0.3781,0.95005,0.91669,0.89306,0.89517,0.82077,0.42862,0.37526,0.96877,0.000141708,0.000141708,0.000141708
48,7521.67,0.38787,0.38356,0.95087,0.91239,0.89761,0.90097,0.8301,0.41259,0.36753,0.94331,0.000132006,0.000132006,0.000132006
49,7679.47,0.3797,0.36462,0.94426,0.91938,0.90174,0.90518,0.83084,0.42098,0.35683,0.94723,0.000122304,0.000122304,0.000122304
50,7835.41,0.37879,0.37461,0.94067,0.90271,0.90417,0.90159,0.82445,0.42001,0.36095,0.95743,0.000112602,0.000112602,0.000112602
51,7992.5,0.32594,0.3183,0.88975,0.92454,0.8838,0.89924,0.82579,0.42359,0.37365,0.95892,0.0001029,0.0001029,0.0001029
52,8151.63,0.32707,0.31299,0.88453,0.9211,0.886,0.90127,0.83388,0.40816,0.3613,0.93974,9.3198e-05,9.3198e-05,9.3198e-05
53,8307.57,0.31205,0.30743,0.88202,0.91933,0.89885,0.90101,0.8278,0.41168,0.36985,0.94404,8.3496e-05,8.3496e-05,8.3496e-05
54,8462.4,0.3138,0.30385,0.88187,0.92041,0.88648,0.89983,0.82748,0.41075,0.36755,0.94007,7.3794e-05,7.3794e-05,7.3794e-05
55,8617.17,0.3038,0.29144,0.87564,0.92218,0.89749,0.90544,0.83742,0.40382,0.36543,0.94003,6.4092e-05,6.4092e-05,6.4092e-05
